Unnamed: 0,Datetime,Text,Username,likeCount,Retweets,Replycount,user_followers,user_verified,user_location,cleaned_tweet,sentiment_scores,sentiment
0,2023-06-10 13:06:39+00:00,"Be it in automobile or electronics, India is making big strides every industry. 

Today, we are one of the  largest mobile manufacturers in the world. Also, we are the world's 3rd largest automobile market.

- Shri @JPNadda https://t.co/YhRSns4nRk",BJP4India,0,0,0,20500655,False,"6-A, Deen Dayal Upadhyay Marg,",automobile electronics india making big stride every industry today one largest mobile manufacturer world also world rd largest automobile market shri,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
1,2023-06-10 12:59:59+00:00,"Since 2014, India's transformation has been unparalleled.

The last 9 years under PM Modi Ji's dynamic leadership have been all about Seva (Service),  Sushasan (Good Governance) and Garib Kalyan (Welfare of the poor).

- Shri @JPNadda https://t.co/voKLbDqGOv",BJP4India,94,45,8,20500655,False,"6-A, Deen Dayal Upadhyay Marg,",since india transformation unparalleled last year pm modi ji dynamic leadership seva service sushasan good governance garib kalyan welfare poor shri,"{'neg': 0.117, 'neu': 0.677, 'pos': 0.207, 'compound': 0.34}",positive
2,2023-06-10 12:48:28+00:00,"PM @narendramodi has changed the political culture of the country.

Today, the politics in India has become ""Report Card Politics' from being a 'Vote Bank Politics' in the pre-2014 times.

- Shri @JPNadda https://t.co/vdUxQwk7kL",BJP4India,178,90,14,20500655,False,"6-A, Deen Dayal Upadhyay Marg,",pm changed political culture country today politics india become report card politics vote bank politics pre time shri,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
3,2023-06-10 11:20:51+00:00,"Anderson Uncle Ki Mohabbat

Rajiv Gandhi saved the man responsible for the Bhopal gas leak. https://t.co/Li14zDzkVf",BJP4India,529,271,35,20500655,False,"6-A, Deen Dayal Upadhyay Marg,",anderson uncle ki mohabbat rajiv gandhi saved man responsible bhopal gas leak,"{'neg': 0.145, 'neu': 0.545, 'pos': 0.309, 'compound': 0.4019}",positive
4,2023-06-10 10:26:50+00:00,"I am privileged to be at this sacred shrine which has emerged as a great spiritual centre.

I have prayed for universal welfare and prosperity of the country.

- Shri @JPNadda after offering prayers at Sri Venkateswara Swamy Temple in Andhra Pradesh. https://t.co/Z7GqlVncWr",BJP4India,782,313,35,20500655,False,"6-A, Deen Dayal Upadhyay Marg,",privileged sacred shrine emerged great spiritual centre prayed universal welfare prosperity country shri offering prayer sri venkateswara swamy temple andhra pradesh,"{'neg': 0.0, 'neu': 0.731, 'pos': 0.269, 'compound': 0.7906}",positive
5,2023-06-10 09:53:38+00:00,"Before 2014, it was all inaction and policy paralysis in India. 

But under Modi Ji, the development in India has been unprecedented and we became the world's 5th largest economy.

- Shri @HardeepSPuri 

Watch full: https://t.co/AAR9epbOop https://t.co/KhIOTdKfuR",BJP4India,879,319,36,20500655,False,"6-A, Deen Dayal Upadhyay Marg,",inaction policy paralysis india modi ji development india unprecedented became world th largest economy shri watch full,"{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.25}",negative
6,2023-06-10 09:06:39+00:00,"The Indian middle class has never had it so good!

#9YearsOfEnabledMiddleClass https://t.co/Rzh9RTZyET",BJP4India,508,278,91,20500655,False,"6-A, Deen Dayal Upadhyay Marg,",indian middle class never good yearsofenabledmiddleclass,"{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.3412}",negative
7,2023-06-10 09:03:27+00:00,"Easing Lives, Ensuring Happiness!

#9YearsOfEnabledMiddleClass https://t.co/VsRZ8gEapD",BJP4India,355,207,14,20500655,False,"6-A, Deen Dayal Upadhyay Marg,",easing life ensuring happiness yearsofenabledmiddleclass,"{'neg': 0.0, 'neu': 0.206, 'pos': 0.794, 'compound': 0.7717}",positive
8,2023-06-10 08:50:18+00:00,"Reforming India's tax system has been one of the biggest achievements of Modi Government. 

#9YearsOfEnabledMiddleClass https://t.co/U57QDmH5Pg",BJP4India,402,219,26,20500655,False,"6-A, Deen Dayal Upadhyay Marg,",reforming india tax system one biggest achievement modi government yearsofenabledmiddleclass,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
9,2023-06-10 08:38:14+00:00,"Since 2014, Modi Government has been ensuring the affordable and accessible education system for New India's Amrit Peedhi.

#9YearsOfEnabledMiddleClass https://t.co/9CMhYdo125",BJP4India,350,201,22,20500655,False,"6-A, Deen Dayal Upadhyay Marg,",since modi government ensuring affordable accessible education system new india amrit peedhi yearsofenabledmiddleclass,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}",positive
